Date,Close,High,Low,Open,Volume
2010-09-27,7.606266498565674,7.640773851724898,7.514688883176393,7.639446353742541,552000
2010-09-28,7.753588676452637,7.765533882749622,7.424438968805038,7.607595001500243,1055400
2010-09-29,7.712440490722656,7.81994424201004,7.598300011597719,7.663332957577025,1567800
2010-09-30,7.68324613571167,7.809332659588554,7.55317939505164,7.72040849557935,2013000
2010-10-01,7.663335800170898,7.770840350773308,7.5598129839728205,7.770840350773308,887400
2010-10-04,7.554503440856934,7.696515323594649,7.494778952129141,7.6261731311055145,756000
2010-10-05,7.789421558380127,7.808002732534271,7.574413215687904,7.642101181976567,923400
2010-10-06,7.810654640197754,7.823926578020078,7.738984960856465,7.788091738349434,1464000
2010-10-07,7.835875988006592,7.878346819408342,7.8119863352027,7.833221750903575,1356600
2010-10-08,7.890288829803467,7.938068880096556,7.835873568520777,7.835873568520777,1706400
2010-10-11,7.788095474243164,7.8863090763414645,7.782786240904656,7.8863090763414645,943200
2010-10-12,7.695188045501709,7.778802939657948,7.679261869124106,7.778802939657948,2066400
2010-10-13,7.83720064163208,7.890288402176792,7.711114932024105,7.728368606088756,1162800
2010-10-14,7.732351303100586,7.88498091199131,7.691207220340504,7.849146061609835,1234200
2010-10-15,7.733680725097656,7.924799468388013,7.724389755983167,7.834548571003934,2066400
2010-10-18,7.652716159820557,7.79472802676679,7.615553821069209,7.7761476168291095,2884200
2010-10-19,7.512031555175781,7.628826279904637,7.344802554909063,7.403200296992476,3867600
2010-10-20,7.574411392211914,7.711114030394262,7.53592155521651,7.581047361504086,1897200
2010-10-21,7.623520374298096,7.724388969370808,7.504071361765296,7.623520374298096,1131000
2010-10-22,7.6367926597595215,7.668645778655191,7.592994336488631,7.631483426891115,717600
2010-10-25,7.558488368988037,7.778806005003793,7.5412346880140415,7.680592393564865,1152000
2010-10-26,7.523978233337402,7.547868640079538,7.416473681312376,7.5266332292675475,1411800
2010-10-27,7.513322830200195,7.549290927466237,7.428065344017595,7.469362415301076,1153200
2010-10-28,7.442718029022217,7.617228736798196,7.43072841208397,7.570604227316041,1065000
2010-10-29,7.464033126831055,7.506662630388469,7.409415528460097,7.433394004873249,571200
2010-11-01,7.454704284667969,7.561276079423976,7.381435699359711,7.514650823935523,850800
2010-11-02,7.619894027709961,7.619894027709961,7.457372149321445,7.542630390378981,1326000
2010-11-03,7.622556209564209,7.63587749536633,7.5066596510146635,7.618559671371229,879000
2010-11-04,7.967583656311035,7.974245062404808,7.715807050797182,7.751775137299161,1785600
2010-11-05,7.963584899902344,8.04085002381257,7.895645284569386,7.979570288195126,1726200
2010-11-08,7.975574970245361,7.992892792831453,7.9182925312427805,7.954260609791455,912600
2010-11-09,7.734457015991211,7.986232824830235,7.69982060563267,7.980903853135952,1064400
2010-11-10,7.8197150230407715,7.826376429348781,7.673179329501545,7.745114742557186,945000
2010-11-11,7.7770867347717285,7.813054824481312,7.663854255006987,7.7357904344261526,441600
2010-11-12,7.642542839050293,7.753110482902079,7.615898729191792,7.701156984142971,636600
2010-11-15,7.663853645324707,7.7544400792872175,7.606571955366185,7.6904969831707986,1671600
2010-11-16,7.523313045501709,7.625222125716153,7.467362259770067,7.589254035696491,2346400
2010-11-17,7.567272186279297,7.637210466184537,7.479350626632972,7.553284682750604,1093200
2010-11-18,7.5213141441345215,7.669183038427497,7.497335672341184,7.651198994017025,1408400
2010-11-19,7.503331661224365,7.571271313995808,7.43139546861201,7.529308789059279,1079200
2010-11-22,7.409411430358887,7.46735931945154,7.271533552153141,7.447377393869466,1524800
2010-11-23,7.347469806671143,7.391430978997038,7.291519778083253,7.309503824738213,945600
2010-11-24,7.483349323272705,7.493340291208585,7.389432547699053,7.431395070386944,1170000
2010-11-26,7.469360828399658,7.523312962836332,7.409414266446207,7.409414266446207,382800
2010-11-29,7.407413959503174,7.449376467261781,7.303506252961583,7.449376467261781,581200
2010-11-30,7.874998569488525,7.982902818505658,7.541295619922125,7.549287934386476,4659200
2010-12-01,7.9429402351379395,7.992895834101072,7.835035958434708,7.972913899420598,1996000
2010-12-02,8.076821327209473,8.092807485659494,7.894982967281431,7.972914346332297,1745200
2010-12-03,8.252664566040039,8.274645150932557,8.002886578192205,8.050844287254236,1220400
